PU_ID,Season,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining
2915,2020,16.71,0.38,0.15,201.8
2917,2019,10.56,0.64,0.76,511.1
2919,2022,7.4,1.29,6.53,180.57
2920,2019,13.12,2.99,1.0,202.5
2923,2021,13.28,7.87,5.33,88.72
2927,2020,16.54,5.22,3.95,225.8
2929,2020,9.46,6.42,2.09,466.74
2930,2019,14.75,6.04,0.08,343.03
2931,2021,7.05,3.27,3.0,452.09
2933,2019,5.89,4.29,2.0,520.69
2935,2021,17.7,1.43,5.22,365.84
2936,2020,16.61,2.42,4.45,489.41
2938,2019,18.06,1.77,9.0,175.65
2939,2019,15.64,1.73,0.03,3033.57
2941,2019,19.7,0.39,3.67,249.8
2943,2022,14.02,0.76,0.2,255.67
2944,2021,11.13,5.86,19.0,171.69
2945,2021,18.54,0.39,1.11,522.94
2949,2022,6.64,1.34,0.07,345.08
2951,2021,17.39,3.69,27.5,238.57
2952,2019,14.77,2.95,9.0,273.87
2953,2021,7.53,0.52,18.33,25.37
2954,2022,16.83,0.54,1.44,403.59
2957,2021,10.43,0.21,3.05,389.07
2958,2020,17.97,1.56,3.35,290.48
2959,2021,9.77,0.0,6.0,66.17
2960,2019,6.41,0.0,2.46,317.77
2961,2021,9.54,4.47,6.22,172.47
2963,2019,14.86,0.2,4.33,193.73
2965,2022,6.68,0.06,2.5,576.13
2966,2021,14.91,7.84,0.08,3659.22
2967,2021,15.15,4.55,0.28,496.01
2968,2022,10.49,2.29,75.0,121.31
2969,2019,17.64,0.0,0.5,394.11
2970,2022,19.67,0.9,2.72,399.92
2973,2021,5.08,1.24,4.3,214.56
2977,2021,16.28,1.25,2.18,294.74
2980,2019,5.61,0.0,3.73,224.63
2981,2020,10.01,0.48,8.82,298.09
2982,2020,14.39,1.39,0.64,483.06
2984,2021,13.19,0.13,1.2,318.71
2988,2022,14.17,2.03,0.05,536.87
2989,2020,12.74,0.73,26.33,150.85
2991,2019,8.53,0.56,0.04,228.68
2992,2022,8.96,4.29,17.6,48.11
2993,2019,6.92,0.47,2.86,343.35
2994,2019,17.29,4.86,3.21,567.05
2996,2021,10.22,8.4,3.43,286.6
3002,2020,9.93,0.16,12.0,294.87
3003,2019,5.19,1.78,26.0,104.98
3004,2022,10.87,0.0,6.0,114.34
3005,2022,12.64,3.42,3.5,588.31
3008,2022,17.29,3.76,2.25,280.47
3010,2021,10.29,0.0,0.17,5053.86
3012,2021,18.85,0.75,4.18,534.84
3017,2019,6.44,0.0,9.25,117.75
3020,2020,18.33,0.6,2.89,370.73
3023,2020,7.02,0.65,4.27,323.69
3024,2021,19.31,6.53,4.17,110.41
3025,2020,13.9,4.15,33.0,156.81
3027,2022,11.51,1.02,48.0,0.0
3028,2020,10.13,3.62,3.07,273.18
3032,2022,10.4,0.55,2.92,160.66
3035,2020,19.04,2.88,20.67,269.73
3036,2019,10.26,1.61,3.14,310.24
3037,2022,10.7,6.92,3.45,488.09
3038,2019,11.94,6.53,1.86,454.51
3042,2022,12.85,4.32,4.73,209.72
3044,2022,9.56,3.88,5.2,210.65
3045,2020,10.19,0.0,3.75,455.31
3047,2021,13.37,2.22,4.1,80.11
3048,2021,15.65,0.0,2.33,134.3
3049,2021,15.76,6.58,24.75,198.2
3051,2021,16.55,0.0,2.22,87.3
3055,2021,15.94,0.73,0.32,326.2
3056,2019,12.91,0.73,3.8,178.82
3057,2020,11.56,4.74,74.0,288.1
3058,2021,15.36,5.9,0.6,503.16
3061,2021,14.25,3.46,2.07,725.91
3063,2021,10.72,0.43,32.67,48.53
3067,2021,11.3,4.63,0.74,710.69
3068,2021,18.15,2.49,1.12,533.0
3069,2021,12.85,0.11,2.68,629.59
3070,2022,5.54,1.89,5.33,173.93
3071,2019,8.35,0.0,2.68,315.47
3072,2020,11.76,0.0,2.69,286.96
3074,2020,8.3,1.76,3.43,202.86
3075,2020,19.64,5.49,2.88,274.32
3076,2021,9.78,2.2,2.64,219.42
3077,2019,12.99,3.77,3.0,249.79
3079,2022,18.27,0.79,0.16,318.03
3081,2022,7.93,1.2,9.67,37.81
3082,2021,19.0,4.11,2.9,345.32
3084,2022,15.38,0.83,9.71,100.54
3090,2022,7.74,6.29,0.21,197.28
3092,2020,14.54,0.81,0.08,368.41
3093,2022,16.0,0.11,6.18,112.24
3095,2019,6.11,6.4,3.3,216.22
3099,2021,8.37,0.95,47.0,168.4
3104,2021,6.4,1.04,1.83,300.3
3105,2021,13.3,1.56,0.17,591.88
3106,2020,15.43,3.16,4.14,243.7
3107,2022,9.15,0.0,1.71,60.53
3109,2022,15.73,1.18,3.67,159.37
3110,2020,17.57,1.42,1.55,256.15
3112,2021,16.22,0.85,4.41,473.98
3114,2019,8.2,2.66,3.4,243.36
3116,2021,10.38,3.05,17.75,337.1
3117,2021,5.54,0.0,2.82,329.78
3118,2020,9.24,0.07,19.2,144.38
3119,2019,14.78,0.76,1.09,111.55
3121,2022,6.1,1.72,2.54,228.23
3122,2019,9.31,1.56,0.01,2776.7
3123,2019,13.54,0.09,1.06,450.13
3125,2019,11.27,1.43,7.15,264.38
3126,2022,15.69,0.0,0.1,290.7
3128,2019,9.15,4.72,16.0,200.64
3135,2019,5.71,4.89,1.12,508.37
3142,2020,9.43,1.6,1.15,322.62
3149,2020,12.71,0.6,0.11,342.31
3152,2020,15.63,0.06,0.05,346.13
3153,2020,5.87,5.84,2.16,730.73
3154,2020,5.9,1.44,1.9,227.19
3155,2022,10.56,0.0,4.04,288.86
3157,2020,19.02,0.5,1.56,331.56
3159,2020,9.31,5.55,4.5,119.78
3161,2021,10.62,5.69,1.85,342.05
3162,2019,6.98,0.77,6.13,198.96
3163,2022,8.56,0.0,3.0,144.63
3166,2019,9.09,3.35,4.17,210.99
3173,2022,18.75,7.69,3.44,361.52
3174,2019,5.88,4.86,12.83,179.68
3176,2019,11.22,1.19,1.46,331.99
3178,2021,11.27,8.37,6.53,92.65
3179,2021,8.1,0.42,15.0,141.96
3180,2020,7.24,1.54,19.67,124.53
3183,2020,10.88,1.8,51.0,87.64
3184,2019,5.65,0.61,5.4,136.85
3185,2021,15.59,2.08,34.0,139.33
3187,2019,8.68,0.5,3.17,203.33
3189,2022,15.86,0.96,6.67,198.33
3193,2019,9.66,1.49,5.5,175.03
3196,2022,14.57,0.0,2.58,484.13
3197,2021,5.4,2.45,1.0,588.42
3198,2022,14.94,5.44,5.71,186.68
3201,2021,17.29,8.31,4.15,358.83
3202,2019,7.57,4.1,2.66,207.85
3203,2020,15.8,0.64,10.6,190.65
3204,2021,12.28,0.63,2.42,412.72
3205,2019,7.81,0.42,6.3,190.56
3206,2022,15.48,0.5,3.48,203.29
3207,2022,13.21,0.73,4.58,217.81
3210,2019,14.52,1.14,5.09,203.16
3211,2022,7.16,5.97,4.4,87.09
3212,2020,10.23,1.9,1.71,161.02
3213,2021,13.79,0.78,1.54,168.05
3214,2022,7.08,0.45,1.4,146.74
3217,2019,6.54,1.17,1.27,176.17
3220,2021,14.3,4.8,14.5,37.59
3221,2020,11.06,0.0,12.2,168.35
3224,2020,6.02,0.56,97.0,196.59
3225,2022,9.2,3.73,1.89,423.46
3229,2022,7.92,4.14,0.68,480.01
3230,2021,9.03,4.47,8.44,283.06
3231,2019,17.31,0.79,2.31,366.12
3236,2022,13.2,2.46,1.85,531.36
3238,2022,6.93,1.35,1.23,178.89
3240,2022,13.54,0.0,1.17,118.58
3242,2020,17.36,0.0,4.78,189.77
3244,2020,8.11,0.04,5.59,415.76
3245,2019,7.18,0.32,2.97,547.53
3248,2021,12.92,0.04,17.67,62.09
3249,2019,6.56,1.95,12.2,297.7
3251,2020,17.2,0.32,4.26,226.07
3258,2020,12.37,0.31,0.57,230.17
3261,2019,10.18,0.0,0.3,2580.44
3267,2020,5.02,0.31,5.09,283.37
3268,2019,5.95,6.66,1.6,477.97
3271,2019,11.52,0.0,3.65,388.35
3276,2022,17.31,1.68,4.74,398.19
3277,2020,13.64,0.8,0.29,428.44
3278,2021,6.39,0.0,3.59,171.03
3279,2022,14.73,2.28,18.6,180.03
3284,2019,15.97,1.8,5.67,199.07
3286,2019,13.4,0.77,1.41,473.04
3287,2019,16.33,2.85,6.13,229.37
3288,2020,12.45,1.94,32.0,60.49
3289,2022,13.9,0.38,0.22,2887.68
3293,2020,15.36,0.84,4.05,262.72
3299,2022,6.31,1.33,11.33,97.97
3300,2021,16.43,6.68,0.41,779.6
3301,2020,7.69,0.27,0.02,1403.0
3303,2022,10.92,6.24,2.24,273.19
3307,2019,9.41,0.0,4.67,306.12
3310,2019,16.53,0.16,3.17,333.18
3311,2020,17.93,5.66,0.08,396.19
3315,2019,9.32,7.46,0.08,604.44
3316,2019,5.83,0.0,25.67,32.31
3317,2019,15.14,4.2,1.93,538.29
3320,2022,14.24,2.23,8.6,96.18
3321,2021,7.35,0.71,0.53,692.26
3322,2022,17.8,5.13,2.86,511.85
3324,2022,17.11,0.19,1.7,446.69
3327,2022,6.12,4.95,8.6,225.69
3328,2022,7.65,5.87,0.63,258.07
3329,2022,6.39,1.89,6.86,111.08
3330,2020,8.65,0.23,1.48,279.72
3331,2019,11.89,4.44,2.0,254.3
3334,2019,15.78,1.71,12.25,40.73
3335,2019,5.36,0.0,12.8,220.53
3340,2020,18.72,0.2,6.0,67.63
3345,2022,5.32,4.18,1.08,254.69
3346,2019,7.26,6.41,3.27,329.94
3347,2021,15.65,4.84,7.0,257.18
3350,2020,12.16,0.9,9.83,49.61
3351,2019,15.12,2.71,4.12,251.55
3352,2021,16.61,0.0,2.77,253.36
3354,2020,18.33,7.56,10.0,43.81
3355,2021,16.92,1.2,2.65,336.05
3357,2021,13.61,0.22,3.62,503.75
3358,2019,6.81,3.39,0.14,177.23
3359,2022,7.48,4.0,2.61,172.27
3361,2021,17.05,2.81,1.24,122.94
3362,2020,14.22,0.67,2.9,366.66
3363,2020,11.58,3.67,0.21,112.79
3364,2019,5.39,3.67,0.56,469.35
3368,2020,18.94,6.05,5.15,184.76
3370,2021,12.78,2.92,17.6,366.06
3371,2020,10.52,1.49,5.0,68.35
3374,2022,11.58,1.83,0.03,4986.41
3375,2021,20.0,5.28,0.96,564.27
3376,2019,12.71,0.91,0.42,497.92
3378,2022,13.34,3.1,1.97,614.07
3380,2021,14.54,7.7,2.36,327.5
3381,2019,19.06,0.0,0.56,517.47
3385,2021,6.04,0.7,4.06,243.67
3386,2019,9.29,3.14,35.5,287.86
3396,2022,9.49,0.99,7.08,122.19
3398,2022,18.25,2.59,5.75,435.35
3401,2019,7.19,0.78,9.67,117.87
3402,2019,18.42,1.39,3.25,86.65
3405,2020,6.6,2.32,7.0,63.66
3406,2021,9.65,3.21,1.0,104.38
3410,2021,10.71,1.11,3.81,523.13
3412,2019,14.35,3.17,0.75,134.63
3414,2020,16.05,0.0,1.28,407.33
3417,2022,16.19,1.98,0.4,202.35
3418,2020,7.0,1.06,2.45,259.66
3419,2019,8.01,0.0,0.59,2914.48
3420,2021,15.33,1.2,1.12,230.8
3422,2022,11.14,2.59,0.75,403.27
3423,2020,19.7,1.56,4.75,229.24
3424,2019,8.24,5.06,2.0,210.97
3425,2019,11.25,1.43,48.5,196.36
3426,2020,10.68,5.34,12.5,123.62
3428,2019,9.28,1.66,1.81,201.79
3430,2022,7.81,7.48,0.35,359.75
3431,2021,12.82,0.1,9.89,56.08
3432,2022,17.86,0.0,4.62,256.66
3438,2020,8.83,3.77,8.17,64.22
3443,2019,5.59,0.38,3.21,526.42
3444,2019,18.63,2.36,7.17,241.96
3445,2019,15.96,0.88,6.89,229.07
3446,2022,9.08,1.43,1.83,498.73
3448,2022,5.42,0.32,2.0,340.07
3449,2019,10.09,1.46,3.62,333.03
3452,2021,8.12,0.83,0.88,411.93
3454,2019,9.48,2.88,4.9,286.35
3458,2020,8.11,2.25,0.04,1275.18
3461,2021,5.24,2.89,3.24,261.59
3463,2019,12.07,0.98,29.67,282.18
3464,2020,7.75,0.53,2.62,558.99
3466,2020,11.12,0.18,3.0,615.56
3471,2021,16.3,3.89,1.33,30.23
3472,2019,18.83,1.54,3.08,94.9
3475,2021,18.58,1.87,4.87,115.46
3476,2020,10.89,4.28,3.27,241.46
3477,2020,9.71,1.61,4.73,187.45
3478,2020,19.28,0.38,6.91,233.12
3481,2020,16.88,5.94,13.5,262.06
3484,2022,13.16,0.18,0.35,513.72
3485,2021,13.49,0.99,3.21,172.66
3486,2020,17.39,5.85,2.84,200.66
3488,2020,17.22,3.99,12.0,129.54
3489,2022,9.67,1.73,1.62,308.44
3493,2019,17.86,3.97,4.0,162.98
3495,2019,17.15,1.7,3.04,439.38
3499,2019,16.19,1.55,2.05,585.55
3500,2021,8.93,0.07,6.14,45.3
3502,2019,15.49,1.08,2.08,234.4
3508,2021,7.75,0.43,0.33,125.59
3512,2020,18.86,7.66,0.06,5183.52
3516,2020,16.21,0.66,0.1,419.21
3517,2021,18.75,0.06,0.59,160.29
3519,2020,11.67,1.52,2.11,374.95
3521,2020,10.38,1.85,6.6,118.06
3524,2021,17.03,4.43,3.67,123.82
3525,2019,8.65,1.38,7.56,71.54
3527,2022,10.29,1.66,4.0,266.83
3528,2020,18.69,0.02,0.39,307.87
3529,2019,19.98,2.65,21.67,350.98
3531,2020,12.26,2.2,23.0,44.57
3532,2020,5.15,5.26,0.71,138.24
3534,2022,10.84,7.4,1.64,267.07
3538,2022,19.17,0.53,1.04,177.9
3539,2020,5.35,1.38,13.0,181.51
3540,2022,15.68,5.81,15.0,150.78
3543,2019,15.13,0.66,1.56,304.87
3544,2021,5.15,5.64,4.88,133.53
3545,2019,9.28,1.67,5.47,177.66
3546,2022,7.84,3.56,5.36,188.64
3547,2022,7.5,6.59,1.17,306.03
3548,2022,15.93,3.67,2.66,736.96
3549,2020,8.59,1.77,11.75,441.44
3551,2020,8.7,3.81,32.67,198.77
3552,2021,13.7,1.22,0.57,349.63
3553,2019,15.81,0.25,14.0,111.39
3556,2022,17.37,0.44,4.25,39.97
3557,2019,6.41,0.28,3.3,334.78
3558,2022,15.66,2.97,2.48,364.24
3559,2021,9.85,4.4,2.47,593.3
3561,2022,13.18,3.17,4.9,165.07
3563,2019,17.32,0.38,2.09,476.13
3567,2022,13.83,0.4,4.25,415.6
3572,2022,12.49,7.58,3.75,318.81
3578,2019,19.83,0.0,1.93,571.12
3581,2020,9.27,0.0,20.0,44.34
3582,2019,14.8,0.65,4.75,200.07
3583,2022,8.16,0.9,6.5,114.1
3584,2019,16.78,6.45,1.13,218.65
3589,2021,6.01,0.48,43.5,197.32
3590,2019,8.13,1.01,1.7,436.56
3596,2020,8.33,1.46,0.18,301.69
3597,2019,13.64,0.52,0.85,347.43
3599,2020,7.11,2.31,2.0,172.17
3601,2019,10.81,1.42,3.15,273.7
3602,2021,16.02,7.98,1.43,525.3
3603,2019,6.54,0.13,4.68,431.31
3605,2019,11.55,4.41,4.5,132.04
3609,2019,17.72,0.83,5.2,305.03
3610,2020,9.9,0.0,6.21,382.97
3612,2020,19.21,3.84,2.96,459.46
3613,2020,13.47,0.03,0.97,420.04
3614,2021,10.96,0.27,2.97,549.75
3616,2021,19.01,0.87,1.24,460.18
3618,2019,14.98,1.52,6.36,142.5
3619,2021,11.39,3.15,6.23,326.6
3621,2020,15.71,0.0,3.18,173.18
3622,2021,9.25,5.2,1.22,594.51
3624,2020,11.45,0.8,1.0,318.96
3626,2019,17.11,1.5,1.67,462.47
3629,2019,10.04,0.1,0.22,105.79
3631,2019,12.16,2.39,2.87,428.83
3633,2021,11.13,0.0,3.67,152.65
3635,2021,14.2,0.0,48.0,80.13
3638,2019,5.75,0.92,3.73,155.26
3640,2021,11.47,1.79,0.92,333.24
3641,2019,11.4,1.45,2.94,296.59
3642,2020,7.78,1.09,6.46,364.06
3644,2019,6.94,0.69,10.88,335.13
3645,2019,18.73,7.63,6.33,316.14
3648,2019,19.44,0.42,2.71,353.71
3649,2019,9.62,5.82,0.23,616.74
3650,2020,11.75,0.33,35.0,94.35
3653,2019,12.29,1.78,5.5,462.8
3655,2021,6.56,0.0,3.41,226.4
3659,2019,12.49,0.0,2.81,220.54
3660,2021,17.04,0.0,3.88,459.55
3666,2022,19.33,0.74,13.0,310.52
3667,2019,17.62,0.9,0.71,463.25
3672,2020,19.79,7.64,14.17,80.86
3673,2019,8.52,0.0,5.08,213.7
3675,2021,17.62,0.0,6.58,134.18
3676,2021,8.51,0.29,4.88,215.63
3679,2019,11.18,0.43,3.14,201.81
3680,2022,18.49,1.45,20.67,74.1
3684,2020,11.12,5.3,11.67,70.41
3686,2021,14.18,0.0,4.71,332.58
3691,2021,19.88,0.47,12.6,35.34
3692,2022,6.33,3.22,2.96,472.31
3693,2022,12.79,2.06,4.6,153.22
3694,2022,9.43,0.6,4.24,543.4
3695,2022,13.1,3.35,3.0,186.38
3696,2021,13.61,6.16,8.6,304.03
3699,2019,10.85,2.63,1.44,452.04
3704,2019,17.25,0.21,0.43,383.5
3705,2022,8.98,2.49,5.53,152.34
3707,2022,7.32,4.06,0.04,3383.62
3710,2022,6.63,0.03,45.0,143.25
3718,2019,11.45,1.87,4.18,137.27
3720,2022,5.93,1.57,3.64,242.7
3721,2022,10.98,1.51,0.74,577.64
3722,2022,9.54,3.02,0.96,593.32
3727,2019,7.38,8.16,4.5,167.72
3732,2021,9.95,0.51,0.78,382.95
3733,2022,16.79,0.18,1.35,151.56
3736,2022,6.75,0.5,3.94,349.58
3738,2021,10.52,1.35,2.15,191.94
3740,2019,6.11,1.78,8.89,300.25
3741,2020,10.62,0.27,0.63,621.87
3742,2019,10.03,0.0,1.35,1162.29
3743,2020,19.9,0.0,7.83,112.28
3745,2022,7.85,0.23,3.06,292.72
3746,2022,14.45,1.63,1.79,230.22
3747,2020,13.03,2.38,1.33,170.15
3748,2019,7.32,6.25,2.19,794.29
3749,2020,7.52,0.53,20.0,205.82
3750,2021,19.84,2.59,4.38,266.53
3753,2020,8.22,0.39,7.36,152.86
3755,2021,12.66,0.69,3.2,423.73
3757,2020,11.83,1.29,2.36,178.27
3761,2021,18.35,0.0,39.0,111.0
3765,2021,12.12,1.17,4.27,148.05
3767,2022,15.45,1.19,5.93,520.98
3768,2021,17.67,3.69,6.08,157.3
3769,2019,9.29,3.37,8.6,190.79
3770,2019,8.63,1.48,0.21,367.41
3773,2019,14.6,3.19,1.45,169.41
3775,2020,14.3,4.91,1.5,259.28
3776,2021,12.7,4.55,1.84,147.76
3777,2020,6.71,0.71,13.6,204.0
3780,2020,8.26,2.49,1.83,493.39
3781,2020,10.3,0.0,9.67,298.07
3783,2021,6.37,0.0,2.81,364.52
3784,2020,19.36,1.53,9.43,183.49
3794,2019,8.61,1.22,0.83,439.38
3796,2019,10.74,2.2,2.46,478.06
3797,2020,7.18,0.35,4.13,190.79
3799,2022,15.27,4.54,6.67,65.45
3802,2020,8.5,0.07,4.67,588.1
3807,2021,15.42,1.81,7.73,198.28
3808,2020,16.76,0.56,2.81,267.01
3811,2019,13.83,0.9,4.5,80.85
3813,2021,16.25,4.98,0.9,850.48
3816,2022,12.76,4.1,17.75,144.8
3818,2020,14.1,3.99,4.89,177.41
3820,2019,19.61,0.22,3.21,278.49
3824,2022,14.36,1.12,1.63,290.94
3825,2021,19.2,0.86,15.17,216.43
3829,2019,17.53,0.63,4.44,209.22
3830,2021,18.21,6.12,5.81,94.68
3831,2019,12.52,0.45,2.19,430.63
3832,2020,7.8,0.0,4.5,296.98
3833,2020,6.91,3.8,2.04,417.14
3836,2020,15.42,0.73,3.32,298.85
3837,2020,9.58,0.06,2.68,220.83
3841,2022,11.35,4.08,3.32,394.61
3844,2020,10.98,0.0,1.05,514.85
3845,2019,8.95,1.43,0.05,435.06
3849,2022,19.15,0.03,1.0,93.07
3850,2020,14.81,1.5,5.7,194.11
3852,2019,8.05,0.68,8.5,194.01
3854,2022,8.06,1.59,7.5,220.0
3856,2022,7.88,2.88,1.78,209.55
3860,2019,14.57,6.22,3.89,142.73
3862,2021,8.46,3.76,0.5,200.25
3863,2021,5.09,0.0,29.0,24.68
3864,2021,13.98,0.77,2.89,656.56
3866,2020,12.16,4.29,2.18,323.12
3869,2022,9.31,4.29,1.78,490.37
3870,2019,9.12,2.37,3.44,459.67
3871,2020,8.34,1.26,15.33,134.17
3873,2021,10.3,1.52,3.4,329.68
3878,2021,19.72,0.79,2.5,548.6
3880,2020,10.34,5.06,6.62,220.03
3881,2021,11.68,0.25,0.58,1922.79
3885,2019,15.34,0.0,2.89,593.2
3886,2021,8.09,0.0,0.72,848.82
3887,2022,10.09,0.74,23.33,128.22
3894,2019,6.3,3.16,0.29,2228.58
3895,2022,13.34,0.51,1.91,105.23
3899,2021,11.57,1.9,3.09,188.57
3900,2020,13.45,0.36,1.12,144.86
3903,2022,11.37,0.0,1.6,527.69
3904,2020,9.71,1.95,16.0,52.36
3905,2022,18.73,2.12,1.14,132.77
3906,2021,5.63,0.9,2.1,368.18
3908,2021,17.13,1.45,12.86,150.26
3910,2022,6.67,1.9,1.6,157.41
3912,2022,15.4,0.85,9.7,372.92
3913,2020,9.09,2.41,3.09,405.18
3914,2022,11.84,0.67,3.64,201.86
3916,2019,7.25,1.28,4.41,160.73
3917,2020,9.37,4.8,2.45,98.58
3921,2022,10.22,0.0,1.96,540.32
3924,2020,16.27,2.06,10.2,155.64
3925,2021,9.9,0.11,3.1,412.15
3926,2019,13.8,0.0,0.93,1781.55
3928,2019,15.75,2.95,0.67,446.47
3934,2019,19.48,1.5,3.83,202.27
3936,2020,11.9,1.8,1.5,432.89
3937,2019,11.29,7.97,1.3,813.44
3939,2022,17.18,0.0,7.22,96.18
3941,2021,15.05,0.39,3.26,162.16
3944,2021,10.76,4.84,3.47,464.59
3947,2022,12.37,0.04,53.0,75.84
3948,2019,15.94,2.05,2.71,386.56
3950,2022,7.38,0.53,2.08,207.94
3954,2020,18.09,6.81,0.6,156.87
3956,2021,5.46,3.0,3.55,392.62
3957,2020,14.1,0.0,4.71,672.45
3961,2020,6.3,1.66,10.25,42.56
3963,2022,18.48,0.11,5.46,123.51
3964,2019,8.27,0.0,0.81,464.93
3967,2022,17.4,0.92,0.4,371.13
3971,2020,15.48,2.89,8.0,71.37
3973,2019,11.86,3.93,2.54,414.92
3975,2022,11.97,1.99,0.79,544.14
3976,2021,14.72,1.2,1.9,192.29
3977,2019,14.13,2.32,0.21,359.55
3990,2021,9.27,2.3,2.25,96.31
3992,2019,6.68,1.34,1.84,488.23
3993,2021,10.88,2.4,14.67,112.5
3994,2019,16.11,1.48,2.93,161.86
3995,2020,8.37,4.65,19.67,414.86
4005,2020,8.04,3.51,7.11,164.78
4008,2020,16.97,3.48,4.5,293.07
4011,2021,19.26,3.36,0.37,576.11
4012,2022,10.57,8.75,5.71,297.56
4013,2022,7.5,0.34,4.56,508.96
4015,2021,8.58,4.48,2.97,632.97
4016,2020,12.48,1.92,4.74,161.19
4017,2020,9.37,0.91,1.17,390.04
4020,2019,16.66,1.02,3.0,359.4
4021,2019,15.65,2.99,0.83,492.47
4023,2019,6.74,1.45,1.07,685.59
4027,2019,12.91,0.0,0.02,1370.92
4030,2021,9.71,2.45,7.17,126.27
4033,2022,5.87,7.16,0.23,658.61
4035,2021,13.44,0.66,0.07,2990.24
4036,2019,15.43,1.37,4.09,258.96
4037,2020,12.47,0.04,4.43,146.98
4038,2021,12.25,0.63,0.57,350.77
4039,2021,10.52,7.65,4.73,198.18
4043,2021,5.95,1.83,0.61,362.2
4044,2022,7.51,2.92,5.47,464.88
4045,2019,17.86,3.38,7.55,215.77
4046,2021,13.8,0.19,7.9,108.65
4048,2019,17.13,0.0,4.6,269.93
4052,2020,7.22,2.95,0.79,313.1
4053,2019,13.61,0.93,0.2,614.83
4054,2019,10.5,1.5,6.0,103.49
4056,2021,12.48,8.34,5.44,256.96
4057,2021,14.03,0.57,24.0,135.14
4058,2021,5.48,2.92,0.04,3624.46
4060,2022,15.82,0.37,1.18,341.98
4062,2019,14.78,0.25,1.24,597.47
4063,2022,13.2,2.0,2.97,250.49
4064,2022,19.73,5.03,3.16,439.3
4067,2019,14.25,2.35,1.28,392.44
4071,2022,14.34,0.72,2.83,374.13
4072,2021,12.27,1.96,5.78,280.72
4074,2021,17.05,1.28,12.83,121.98
4075,2020,9.1,0.31,2.76,601.15
4078,2021,10.59,1.71,2.92,206.34
4080,2020,8.49,3.28,2.29,114.66
4081,2021,18.34,0.34,14.0,11.95
4086,2021,11.99,0.54,5.5,238.41
4089,2020,17.58,0.56,0.18,3386.22
4092,2022,17.46,6.9,13.4,250.45
4093,2020,12.31,2.18,4.22,136.24
4095,2022,6.17,0.8,0.33,226.85
4097,2020,17.98,7.37,2.46,466.04
4099,2020,14.83,0.98,0.23,486.8
4100,2022,7.12,0.23,4.0,243.61
4101,2020,6.41,0.4,0.23,4971.62
4102,2021,10.18,8.32,47.0,104.57
4105,2020,8.62,6.34,10.25,226.44
4107,2022,13.61,6.54,0.33,3101.95
4109,2020,13.14,2.21,0.42,364.01
4110,2021,17.09,1.81,2.88,565.63
4112,2020,18.46,0.0,2.32,303.07
4113,2020,8.54,0.72,3.84,537.12
4115,2021,7.4,1.99,0.86,519.43
4116,2022,17.56,0.13,2.43,536.49
4118,2022,16.95,0.0,1.96,394.23
4122,2022,11.35,0.23,2.11,293.54
4123,2019,17.03,5.43,9.71,60.82
4125,2019,14.54,0.8,2.94,377.07
4127,2020,18.49,1.92,19.0,120.66
4128,2022,8.36,0.1,2.6,357.06
4129,2020,14.06,1.69,1.0,332.59
4131,2020,10.74,1.56,4.89,486.12
4133,2021,7.01,1.66,2.71,296.58
4135,2022,16.25,1.81,0.07,285.87
4136,2019,10.74,5.77,3.88,226.1
4139,2020,14.37,0.74,7.75,62.81
4141,2019,17.58,0.0,12.38,286.69
4142,2020,10.59,1.19,6.9,270.9
4143,2019,16.18,6.73,4.41,271.19
4147,2022,16.47,2.7,0.94,1099.07
4148,2020,6.18,0.61,0.93,245.46
4152,2021,15.43,6.89,4.06,436.24
4153,2020,18.77,2.03,0.81,359.78
4156,2019,17.39,0.83,0.07,687.22
4159,2021,18.24,1.82,2.96,498.63
4160,2022,6.52,0.06,1.82,643.17
4162,2022,16.98,5.52,0.21,326.22
4164,2022,9.63,4.09,0.45,326.56
4165,2022,11.08,3.86,0.11,244.64
4167,2021,8.03,7.53,2.38,236.85
4169,2022,6.25,0.28,15.25,115.95
4171,2020,16.45,1.73,6.5,506.31
4172,2022,9.54,3.97,2.0,390.43
4174,2022,12.51,0.56,3.59,619.07
4176,2019,5.54,0.88,5.64,363.38
4179,2022,13.08,4.06,2.54,563.46
4180,2019,10.94,1.66,20.33,37.93
4181,2019,11.23,1.13,0.05,1458.32
4183,2020,14.93,1.74,2.5,117.85
4187,2022,11.65,2.8,3.42,239.2
4189,2022,9.7,7.13,4.86,117.39
4192,2021,10.66,0.27,5.7,113.21
4194,2019,6.09,0.04,9.83,296.7
4195,2021,14.06,3.41,1.62,548.22
4196,2020,19.9,2.26,2.39,592.4
4197,2020,19.46,8.49,4.14,241.8
4198,2019,17.44,1.55,0.54,611.42
4202,2021,5.84,0.93,30.0,300.96
4203,2020,8.08,1.74,2.03,549.66
4204,2021,13.17,8.42,2.2,512.19
4205,2022,7.68,3.44,3.78,363.07
4209,2020,17.24,0.0,1.77,776.76
4211,2019,15.93,3.83,1.44,751.21
4212,2021,10.33,0.97,2.07,608.07
4213,2020,15.0,2.97,2.17,619.14
4214,2022,6.83,0.0,4.27,172.38
4215,2019,15.58,5.47,3.0,71.72
4217,2021,5.65,0.0,0.27,538.13
4221,2020,9.36,4.8,2.05,299.51
4224,2019,12.27,0.28,0.5,295.31
4227,2021,10.3,0.47,10.17,365.32
