PU_ID,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
3746,Player D,Team B,28,189.75,84.04,Forward,23.0,0.0,3,2,69.08,5.72,32,2,22,8,0.66,14,9,14.45,1.63,1.79,230.22,2022
3747,Player D,Team B,26,176.47,101.37,Forward,20.0,8.0,2,4,71.19,13.41,16,1,20,5,0.41,34,8,13.03,2.38,1.33,170.15,2020
3748,Player A,Team A,33,188.64,104.18,Forward,25.0,15.0,4,2,95.14,10.13,35,13,12,1,0.4,48,0,7.32,6.25,2.19,794.29,2019
3749,Player B,Team B,26,164.38,104.93,Goalkeeper,3.0,8.0,7,1,113.25,6.32,13,3,6,8,0.88,61,0,7.52,0.53,20.0,205.82,2020
3750,Player C,Team B,39,170.82,65.97,Goalkeeper,200.0,15.0,0,4,59.45,6.36,36,6,25,5,0.9,81,4,19.84,2.59,4.38,266.53,2021
3753,Player A,Team B,31,193.1,79.17,Defender,10.0,17.0,0,2,64.59,14.22,5,6,0,0,0.69,59,8,8.22,0.39,7.36,152.86,2020
3755,Player C,Team C,35,187.01,57.33,Forward,24.0,1.0,9,4,99.24,14.78,84,0,9,1,0.19,79,6,12.66,0.69,3.2,423.73,2021
3757,Player B,Team C,23,169.48,104.87,Midfielder,13.0,2.0,5,4,71.86,13.11,37,2,24,6,0.34,42,1,11.83,1.29,2.36,178.27,2020
3761,Player B,Team C,29,169.4,105.7,Midfielder,1.0,5.0,4,2,70.58,9.07,23,0,7,1,0.73,69,4,18.35,0.0,39.0,111.0,2021
3765,Player A,Team A,35,189.03,140.67,Midfielder,100.0,7.0,3,2,54.57,13.66,70,4,18,9,0.3,47,6,12.12,1.17,4.27,148.05,2021
3767,Player A,Team C,20,173.44,56.9,Goalkeeper,14.0,14.0,6,1,97.98,14.54,89,6,0,9,0.43,36,9,15.45,1.19,5.93,520.98,2022
3768,Player C,Team C,26,166.79,89.8,Defender,11.0,13.0,2,4,68.75,5.77,71,7,14,3,0.16,63,8,17.67,3.69,6.08,157.3,2021
3769,Player D,Team B,21,183.23,89.02,Midfielder,4.0,14.0,8,4,62.62,10.87,88,0,5,1,0.12,76,2,9.29,3.37,8.6,190.79,2019
3770,Player B,Team A,34,183.12,80.18,Midfielder,28.0,19.0,5,3,97.78,12.77,29,4,9,2,0.55,82,1,8.63,1.48,0.21,367.41,2019
3773,Player D,Team A,26,173.55,76.64,Midfielder,21.0,9.0,7,4,80.6,5.8,4,11,0,7,0.73,34,2,14.6,3.19,1.45,169.41,2019
3775,Player D,Team C,22,168.46,108.17,Goalkeeper,13.0,7.0,0,2,82.07,7.23,50,13,25,4,0.93,49,4,14.3,4.91,1.5,259.28,2020
3776,Player A,Team C,32,170.63,56.92,Midfielder,18.0,4.0,2,1,86.25,7.24,8,6,15,5,0.82,18,3,12.7,4.55,1.84,147.76,2021
3777,Player C,Team A,32,163.79,84.66,Midfielder,4.0,9.0,2,3,51.59,9.59,54,13,16,3,0.57,61,4,6.71,0.71,13.6,204.0,2020
3780,Player D,Team B,20,167.46,71.4,Goalkeeper,17.0,13.0,5,0,114.37,11.96,30,14,23,3,0.4,5,8,8.26,2.49,1.83,493.39,2020
3781,Player C,Team A,23,189.87,78.59,Forward,50.0,13.0,1,2,95.03,5.3,82,14,13,5,0.33,89,9,10.3,0.0,9.67,298.07,2020
3783,Player D,Team A,30,186.73,78.92,Forward,25.0,16.0,5,1,68.68,12.92,60,4,27,5,0.83,93,7,6.37,0.0,2.81,364.52,2021
3784,Player B,Team C,30,188.68,115.76,Defender,6.0,14.0,1,1,90.46,6.91,65,3,16,7,0.8,64,4,19.36,1.53,9.43,183.49,2020
3794,Player C,Team B,38,184.05,104.76,Forward,28.0,9.0,7,0,58.71,9.78,99,3,28,5,0.03,88,5,8.61,1.22,0.83,439.38,2019
3796,Player A,Team B,25,172.68,97.01,Defender,25.0,8.0,8,1,81.41,7.32,17,8,10,8,0.53,21,7,10.74,2.2,2.46,478.06,2019
3797,Player D,Team B,29,181.58,60.43,Goalkeeper,22.0,1.0,4,2,69.26,7.0,69,4,8,9,0.1,20,0,7.18,0.35,4.13,190.79,2020
3799,Player A,Team B,32,249.02,97.98,Midfielder,2.0,11.0,3,3,94.78,11.05,73,6,21,4,0.57,89,7,15.27,4.54,6.67,65.45,2022
3802,Player B,Team A,37,162.59,68.49,Defender,20.0,18.0,5,0,87.83,6.82,33,1,18,1,0.82,15,8,8.5,0.07,4.67,588.1,2020
3807,Player D,Team A,18,195.16,53.27,Goalkeeper,10.0,1.0,5,2,65.23,12.15,45,13,5,6,0.35,76,3,15.42,1.81,7.73,198.28,2021
3808,Player A,Team C,19,203.53,236.4,Midfielder,15.0,19.0,4,2,114.97,13.99,95,11,24,0,0.05,4,1,16.76,0.56,2.81,267.01,2020
3811,Player A,Team B,25,184.08,114.53,Forward,1.0,13.0,4,4,115.69,9.24,46,11,0,9,0.46,81,5,13.83,0.9,4.5,80.85,2019
3813,Player A,Team A,29,181.97,76.03,Midfielder,28.0,19.0,3,2,84.59,12.26,42,7,14,1,0.61,16,4,16.25,4.98,0.9,850.48,2021
3816,Player C,Team B,38,168.8,96.16,Midfielder,3.0,8.0,4,2,60.61,7.81,70,1,12,0,0.36,92,9,12.76,4.1,17.75,144.8,2022
3818,Player C,Team C,28,189.09,117.03,Forward,17.0,5.0,0,0,82.18,6.6,75,11,11,5,0.82,12,8,14.1,3.99,4.89,177.41,2020
3820,Player C,Team A,36,178.28,102.19,Midfielder,23.0,2.0,0,4,73.5,6.04,27,9,7,8,0.35,50,3,19.61,0.22,3.21,278.49,2019
3824,Player A,Team A,24,176.47,110.92,Midfielder,29.0,14.0,6,0,63.5,6.07,79,5,10,4,0.21,79,4,14.36,1.12,1.63,290.94,2022
3825,Player B,Team C,25,184.63,79.38,Midfielder,5.0,10.0,2,2,110.22,12.65,73,11,9,0,0.08,38,0,19.2,0.86,15.17,216.43,2021
3829,Player D,Team C,27,214.48,83.55,Defender,17.0,4.0,2,4,79.07,11.61,67,1,12,6,0.22,96,1,17.53,0.63,4.44,209.22,2019
3830,Player D,Team A,39,180.51,70.12,Forward,15.0,1.0,4,1,81.36,13.78,23,7,26,6,0.38,59,2,18.21,6.12,5.81,94.68,2021
3831,Player B,Team B,18,172.23,83.27,Forward,20.0,16.0,3,1,94.1,5.6,97,0,21,2,0.81,20,8,12.52,0.45,2.19,430.63,2019
3832,Player D,Team B,23,178.38,110.14,Goalkeeper,5.0,11.0,5,4,64.98,8.62,40,12,8,4,0.82,36,6,7.8,0.0,4.5,296.98,2020
3833,Player B,Team C,30,167.46,82.82,Goalkeeper,23.0,11.0,8,3,65.46,11.16,53,0,15,8,0.38,97,2,6.91,3.8,2.04,417.14,2020
3836,Player A,Team A,28,164.13,109.87,Forward,24.0,13.0,4,3,71.4,12.45,48,8,29,2,0.93,3,9,15.42,0.73,3.32,298.85,2020
3837,Player B,Team A,20,167.91,53.9,Forward,27.0,6.0,4,4,77.62,8.56,62,4,9,0,0.12,93,3,9.58,0.06,2.68,220.83,2020
3841,Player C,Team B,28,187.26,75.56,Defender,27.0,16.0,4,2,93.41,12.02,76,10,21,2,0.03,31,7,11.35,4.08,3.32,394.61,2022
3844,Player B,Team B,22,179.59,66.73,Goalkeeper,20.0,18.0,3,1,97.36,10.99,87,10,8,9,0.16,71,6,10.98,0.0,1.05,514.85,2020
3845,Player B,Team A,21,182.56,67.99,Midfielder,180.0,16.0,6,4,73.95,10.14,46,1,1,6,0.66,70,6,8.95,1.43,0.05,435.06,2019
3849,Player A,Team C,19,173.05,88.44,Forward,3.0,2.0,4,2,62.17,13.95,29,13,27,8,0.07,7,9,19.15,0.03,1.0,93.07,2022
3850,Player D,Team C,22,198.44,94.15,Forward,9.0,14.0,6,2,60.46,12.24,4,2,3,6,0.42,36,9,14.81,1.5,5.7,194.11,2020
3852,Player C,Team A,24,172.45,97.51,Forward,7.0,14.0,8,0,72.61,13.33,71,5,21,6,0.61,84,6,8.05,0.68,8.5,194.01,2019
3854,Player D,Team B,29,194.52,84.74,Defender,11.0,2.0,8,4,77.77,11.34,38,14,3,2,0.66,25,7,8.06,1.59,7.5,220.0,2022
3856,Player B,Team B,28,180.34,88.99,Goalkeeper,8.0,13.0,9,4,116.38,10.75,42,10,8,4,0.35,59,5,7.88,2.88,1.78,209.55,2022
3860,Player D,Team C,29,174.26,88.08,Midfielder,8.0,9.0,4,1,96.96,14.69,27,13,20,9,0.81,18,2,14.57,6.22,3.89,142.73,2019
3862,Player C,Team B,19,213.93,103.0,Defender,1.0,12.0,8,1,89.34,5.28,75,5,24,6,0.37,19,1,8.46,3.76,0.5,200.25,2021
3863,Player D,Team B,19,172.34,106.71,Defender,1.0,1.0,8,2,59.96,10.94,91,2,8,7,0.26,4,0,5.09,0.0,29.0,24.68,2021
3864,Player D,Team A,21,187.18,103.73,Goalkeeper,17.0,19.0,8,1,70.52,14.54,89,2,24,7,0.11,65,1,13.98,0.77,2.89,656.56,2021
3866,Player B,Team B,33,177.45,109.81,Forward,210.0,6.0,3,0,77.06,13.4,18,4,6,3,0.41,15,9,12.16,4.29,2.18,323.12,2020
3869,Player B,Team B,19,177.23,116.95,Forward,17.0,17.0,1,3,83.34,10.13,8,8,23,0,0.07,72,2,9.31,4.29,1.78,490.37,2022
3870,Player B,Team A,20,180.07,121.32,Goalkeeper,26.0,7.0,7,4,52.36,9.36,40,8,16,5,0.4,15,1,9.12,2.37,3.44,459.67,2019
3871,Player C,Team B,36,221.35,91.09,Midfielder,5.0,9.0,6,2,67.56,7.52,49,11,17,0,0.18,79,3,8.34,1.26,15.33,134.17,2020
3873,Player D,Team A,36,194.71,104.06,Forward,24.0,2.0,4,3,75.39,7.1,73,13,28,0,0.83,22,6,10.3,1.52,3.4,329.68,2021
3878,Player B,Team B,31,199.9,85.27,Forward,13.0,18.0,8,3,52.77,13.88,6,2,20,7,0.56,20,1,19.72,0.79,2.5,548.6,2021
3880,Player B,Team B,20,171.89,58.97,Midfielder,12.0,11.0,6,2,70.49,12.39,53,9,23,3,0.5,67,0,10.34,5.06,6.62,220.03,2020
3881,Player D,Team C,23,170.3,101.7,Forward,1500.0,1.0,0,4,77.9,6.83,69,4,18,8,0.73,30,1,11.68,0.25,0.58,1922.79,2021
3885,Player B,Team B,36,172.73,72.6,Forward,18.0,13.0,1,0,99.9,6.25,42,2,3,7,0.93,26,3,15.34,0.0,2.89,593.2,2019
3886,Player B,Team B,27,181.92,76.52,Forward,28.0,17.0,0,0,79.77,10.56,4,10,28,0,0.92,57,9,8.09,0.0,0.72,848.82,2021
3887,Player A,Team B,32,166.57,115.92,Forward,2.0,6.0,3,2,97.03,8.66,18,3,29,2,0.64,69,9,10.09,0.74,23.33,128.22,2022
3894,Player D,Team C,36,184.77,116.23,Defender,200.0,1.0,8,0,51.46,12.63,65,13,28,4,0.73,56,2,6.3,3.16,0.29,2228.58,2019
3895,Player B,Team A,34,178.32,64.49,Forward,10.0,4.0,0,3,94.65,9.45,9,11,2,2,0.82,55,5,13.34,0.51,1.91,105.23,2022
3899,Player A,Team A,30,166.55,96.37,Defender,10.0,1.0,3,2,74.68,11.0,94,11,23,0,0.84,84,7,11.57,1.9,3.09,188.57,2021
3900,Player B,Team B,30,174.38,95.42,Defender,7.0,4.0,4,3,76.04,9.2,74,11,10,9,0.43,25,3,13.45,0.36,1.12,144.86,2020
3903,Player A,Team A,33,220.53,117.3,Goalkeeper,19.0,18.0,4,1,67.39,14.46,20,13,25,8,0.25,60,1,11.37,0.0,1.6,527.69,2022
3904,Player C,Team A,32,177.25,87.41,Forward,5.0,2.0,3,4,51.58,12.72,36,10,15,2,0.84,43,7,9.71,1.95,16.0,52.36,2020
3905,Player D,Team B,34,177.84,76.48,Defender,6.0,18.0,8,2,83.83,5.88,13,12,20,6,0.48,62,2,18.73,2.12,1.14,132.77,2022
3906,Player C,Team C,39,172.34,103.34,Midfielder,20.0,14.0,7,2,91.49,5.06,57,1,17,8,0.51,76,4,5.63,0.9,2.1,368.18,2021
3908,Player C,Team B,36,167.41,50.92,Midfielder,6.0,7.0,6,0,83.72,14.44,56,8,5,1,0.57,63,8,17.13,1.45,12.86,150.26,2021
3910,Player D,Team B,39,166.95,101.26,Defender,9.0,0.0,4,1,79.49,13.39,69,7,15,7,0.04,54,4,6.67,1.9,1.6,157.41,2022
3912,Player A,Team B,22,173.21,116.97,Goalkeeper,90.0,16.0,0,0,67.53,13.27,79,4,18,4,0.01,55,6,15.4,0.85,9.7,372.92,2022
3913,Player A,Team B,24,169.25,65.67,Defender,210.0,15.0,5,4,97.67,5.34,59,9,19,7,0.98,94,6,9.09,2.41,3.09,405.18,2020
3914,Player A,Team A,19,177.05,82.04,Defender,10.0,12.0,9,3,54.88,9.27,22,11,15,3,0.97,43,7,11.84,0.67,3.64,201.86,2022
3916,Player D,Team A,29,184.1,92.23,Goalkeeper,16.0,2.0,9,1,56.0,14.82,37,10,25,3,0.73,38,4,7.25,1.28,4.41,160.73,2019
3917,Player D,Team B,27,181.95,76.28,Goalkeeper,10.0,5.0,3,4,89.94,8.0,79,2,13,4,0.35,45,0,9.37,4.8,2.45,98.58,2020
3921,Player C,Team B,19,199.52,105.86,Midfielder,25.0,14.0,8,0,73.01,13.78,31,9,12,6,0.4,30,7,10.22,0.0,1.96,540.32,2022
3924,Player B,Team A,34,178.82,71.32,Forward,4.0,5.0,9,4,99.75,11.54,4,7,3,1,0.99,63,1,16.27,2.06,10.2,155.64,2020
3925,Player D,Team C,20,170.66,53.88,Midfielder,19.0,8.0,5,4,50.93,13.51,71,1,17,4,0.03,11,5,9.9,0.11,3.1,412.15,2021
3926,Player C,Team A,24,173.79,53.55,Forward,80.0,13.0,8,4,84.8,14.26,49,11,14,1,0.6,78,5,13.8,0.0,0.93,1781.55,2019
3928,Player A,Team B,25,168.77,89.49,Midfielder,20.0,5.0,4,1,76.8,9.99,82,4,28,1,0.69,80,7,15.75,2.95,0.67,446.47,2019
3934,Player A,Team B,27,182.41,118.87,Midfielder,110.0,1.0,3,0,97.88,10.92,58,9,8,5,0.31,97,9,19.48,1.5,3.83,202.27,2019
3936,Player B,Team C,23,174.92,113.67,Forward,21.0,13.0,4,0,65.36,11.55,47,7,22,7,0.42,61,3,11.9,1.8,1.5,432.89,2020
3937,Player C,Team B,18,163.11,65.21,Midfielder,29.0,13.0,1,2,61.97,5.17,27,1,13,6,0.16,78,7,11.29,7.97,1.3,813.44,2019
3939,Player C,Team B,29,195.16,99.62,Midfielder,8.0,4.0,9,1,64.82,10.93,91,9,5,5,0.42,5,7,17.18,0.0,7.22,96.18,2022
3941,Player B,Team A,30,197.34,89.99,Midfielder,18.0,10.0,8,1,91.72,14.09,30,10,22,7,0.9,18,7,15.05,0.39,3.26,162.16,2021
3944,Player A,Team A,28,187.6,98.06,Defender,16.0,11.0,4,0,54.51,6.07,92,9,8,9,0.1,94,7,10.76,4.84,3.47,464.59,2021
3947,Player C,Team B,19,178.51,91.9,Midfielder,0.0,13.0,1,1,68.05,6.7,22,2,16,5,0.6,30,4,12.37,0.04,53.0,75.84,2022
3948,Player A,Team A,29,190.98,76.19,Forward,27.0,6.0,1,4,80.55,13.2,79,3,25,3,0.16,55,6,15.94,2.05,2.71,386.56,2019
3950,Player A,Team A,33,173.14,59.32,Goalkeeper,12.0,3.0,3,0,70.7,6.78,72,6,8,9,0.02,69,8,7.38,0.53,2.08,207.94,2022
3954,Player B,Team B,36,180.82,103.59,Defender,9.0,5.0,8,0,80.18,9.02,44,2,25,2,0.23,91,8,18.09,6.81,0.6,156.87,2020
3956,Player C,Team C,24,187.76,50.68,Forward,21.0,0.0,2,0,69.98,9.8,9,12,5,5,0.93,30,1,5.46,3.0,3.55,392.62,2021
3957,Player A,Team B,18,173.4,75.87,Defender,20.0,15.0,5,1,87.1,8.08,90,4,21,1,0.42,77,0,14.1,0.0,4.71,672.45,2020
3961,Player D,Team A,21,178.64,98.81,Forward,3.0,1.0,0,4,85.1,5.92,0,2,29,1,0.39,79,7,6.3,1.66,10.25,42.56,2020
3963,Player A,Team B,38,186.34,118.35,Forward,12.0,3.0,6,1,64.0,6.59,42,14,27,2,0.58,84,1,18.48,0.11,5.46,123.51,2022
3964,Player B,Team C,19,217.48,66.94,Defender,26.0,8.0,9,1,99.05,14.82,96,0,3,2,0.01,45,6,8.27,0.0,0.81,464.93,2019
3967,Player D,Team B,29,216.74,73.03,Midfielder,24.0,13.0,5,2,67.89,11.56,95,5,10,7,0.04,5,0,17.4,0.92,0.4,371.13,2022
3971,Player B,Team A,34,208.56,122.0,Midfielder,10.0,4.0,9,2,58.91,14.8,95,8,15,1,0.54,26,7,15.48,2.89,8.0,71.37,2020
3973,Player C,Team A,28,195.73,88.38,Forward,27.0,11.0,2,3,52.17,12.7,19,12,12,3,0.71,13,0,11.86,3.93,2.54,414.92,2019
3975,Player C,Team A,25,176.83,110.98,Forward,13.0,18.0,8,4,97.05,7.81,35,7,13,5,0.9,69,9,11.97,1.99,0.79,544.14,2022
3976,Player A,Team C,27,193.31,62.96,Defender,29.0,4.0,7,3,97.47,10.6,37,9,0,3,0.37,25,6,14.72,1.2,1.9,192.29,2021
3977,Player D,Team B,25,160.77,65.78,Midfielder,23.0,6.0,7,0,92.33,9.13,55,14,10,9,0.55,13,5,14.13,2.32,0.21,359.55,2019
3990,Player D,Team A,31,177.7,89.75,Midfielder,11.0,0.0,6,3,77.19,13.48,61,6,12,6,0.08,42,8,9.27,2.3,2.25,96.31,2021
3992,Player D,Team A,19,183.84,109.04,Midfielder,18.0,7.0,0,2,91.25,8.77,16,1,18,9,0.75,37,7,6.68,1.34,1.84,488.23,2019
3993,Player A,Team C,36,170.02,80.54,Forward,5.0,5.0,4,3,62.67,10.03,76,0,14,2,0.05,11,0,10.88,2.4,14.67,112.5,2021
3994,Player B,Team B,29,180.96,80.33,Defender,13.0,13.0,6,2,59.42,10.47,45,6,28,8,0.49,27,5,16.11,1.48,2.93,161.86,2019
3995,Player D,Team A,37,178.85,113.37,Goalkeeper,2.0,19.0,0,0,59.28,14.43,40,7,0,3,0.44,94,1,8.37,4.65,19.67,414.86,2020
4005,Player B,Team A,39,191.24,85.83,Goalkeeper,8.0,3.0,0,4,76.97,7.67,98,0,9,1,0.27,28,8,8.04,3.51,7.11,164.78,2020
4008,Player D,Team B,39,181.36,92.45,Defender,21.0,13.0,4,0,75.09,12.16,57,13,20,5,0.68,30,5,16.97,3.48,4.5,293.07,2020
4011,Player C,Team C,21,194.24,111.76,Midfielder,18.0,11.0,7,1,60.99,13.4,27,11,28,7,0.39,69,3,19.26,3.36,0.37,576.11,2021
4012,Player B,Team A,23,166.7,60.35,Forward,13.0,8.0,7,2,83.29,8.81,28,14,17,5,0.7,15,0,10.57,8.75,5.71,297.56,2022
4013,Player A,Team B,39,170.62,85.58,Goalkeeper,17.0,9.0,1,3,91.68,13.37,95,3,15,7,0.19,38,0,7.5,0.34,4.56,508.96,2022
4015,Player B,Team B,24,188.49,86.18,Midfielder,28.0,19.0,6,2,81.12,12.69,90,5,15,9,0.26,14,6,8.58,4.48,2.97,632.97,2021
4016,Player D,Team A,32,175.04,112.25,Forward,180.0,1.0,8,1,56.54,5.84,73,8,25,9,0.89,57,0,12.48,1.92,4.74,161.19,2020
4017,Player A,Team A,38,197.11,87.1,Goalkeeper,50.0,15.0,8,0,106.56,9.68,81,3,14,8,0.9,59,5,9.37,0.91,1.17,390.04,2020
4020,Player D,Team B,39,188.36,59.12,Goalkeeper,10.0,9.0,3,1,110.02,8.51,54,7,20,7,0.41,19,5,16.66,1.02,3.0,359.4,2019
4021,Player C,Team B,38,177.22,97.68,Midfielder,23.0,5.0,8,1,78.97,10.18,31,0,20,4,0.24,32,2,15.65,2.99,0.83,492.47,2019
4023,Player B,Team A,22,166.57,101.33,Midfielder,26.0,19.0,5,0,66.61,8.33,21,3,19,2,0.83,29,3,6.74,1.45,1.07,685.59,2019
4027,Player A,Team A,26,182.07,88.38,Midfielder,100.0,1.0,4,2,75.55,8.41,40,2,13,9,0.16,13,5,12.91,0.0,0.02,1370.92,2019
4030,Player A,Team A,38,183.71,78.75,Forward,5.0,13.0,7,2,51.68,10.63,1,6,25,7,0.67,26,8,9.71,2.45,7.17,126.27,2021
4033,Player B,Team C,39,189.9,113.05,Goalkeeper,25.0,8.0,2,2,72.27,9.99,7,5,6,2,0.99,37,1,5.87,7.16,0.23,658.61,2022
4035,Player C,Team B,23,161.85,107.53,Forward,150.0,2.0,3,2,59.27,14.54,32,6,2,2,0.99,92,2,13.44,0.66,0.07,2990.24,2021
4036,Player B,Team A,38,181.99,76.27,Midfielder,21.0,19.0,6,4,111.52,13.35,67,8,2,8,0.98,96,5,15.43,1.37,4.09,258.96,2019
4037,Player D,Team A,33,178.68,100.21,Midfielder,13.0,13.0,5,3,94.68,5.71,17,2,2,4,0.79,52,9,12.47,0.04,4.43,146.98,2020
4038,Player D,Team C,22,197.11,77.67,Forward,22.0,7.0,2,0,53.36,14.31,63,4,14,7,0.66,54,6,12.25,0.63,0.57,350.77,2021
4039,Player C,Team A,26,170.29,66.28,Forward,14.0,2.0,9,0,60.48,14.17,60,4,15,2,0.58,3,5,10.52,7.65,4.73,198.18,2021
4043,Player D,Team C,29,165.17,107.35,Goalkeeper,22.0,7.0,0,0,84.74,14.35,93,8,5,8,0.62,14,8,5.95,1.83,0.61,362.2,2021
4044,Player C,Team A,27,184.5,116.88,Goalkeeper,14.0,16.0,0,0,53.88,13.23,21,12,16,6,0.41,3,6,7.51,2.92,5.47,464.88,2022
4045,Player A,Team C,37,182.33,71.94,Forward,10.0,7.0,5,1,110.01,7.82,38,8,5,0,0.43,24,6,17.86,3.38,7.55,215.77,2019
4046,Player B,Team B,37,194.45,113.17,Forward,9.0,4.0,3,3,91.64,5.33,64,5,23,5,0.33,13,3,13.8,0.19,7.9,108.65,2021
4048,Player D,Team A,30,181.03,63.37,Forward,14.0,1.0,1,3,95.82,5.92,4,3,17,0,0.85,29,5,17.13,0.0,4.6,269.93,2019
4052,Player A,Team C,38,176.17,65.47,Midfielder,280.0,8.0,4,2,57.93,8.77,30,7,24,6,0.82,31,3,7.22,2.95,0.79,313.1,2020
4053,Player A,Team B,27,168.77,81.9,Forward,24.0,8.0,2,0,90.74,14.3,40,11,11,5,0.56,63,6,13.61,0.93,0.2,614.83,2019
4054,Player B,Team B,20,172.11,73.17,Defender,5.0,8.0,3,2,87.86,6.93,11,6,26,1,0.78,26,6,10.5,1.5,6.0,103.49,2019
4056,Player B,Team B,20,170.07,85.78,Forward,15.0,5.0,1,2,64.56,10.73,17,13,21,0,0.82,82,6,12.48,8.34,5.44,256.96,2021
4057,Player A,Team A,22,187.47,154.33,Midfielder,1.0,11.0,3,4,88.13,8.22,65,6,16,2,0.04,57,1,14.03,0.57,24.0,135.14,2021
4058,Player C,Team C,33,192.0,93.27,Defender,180.0,9.0,8,2,56.15,12.05,87,0,1,0,0.89,7,4,5.48,2.92,0.04,3624.46,2021
4060,Player B,Team A,23,188.25,101.18,Midfielder,100.0,17.0,3,2,79.2,10.41,38,10,27,1,0.29,80,1,15.82,0.37,1.18,341.98,2022
4062,Player D,Team A,37,194.95,117.42,Defender,20.0,12.0,6,0,96.93,5.61,32,13,23,4,0.77,33,5,14.78,0.25,1.24,597.47,2019
4063,Player A,Team A,33,162.11,84.9,Defender,28.0,0.0,1,2,66.44,6.54,87,8,5,2,0.25,3,2,13.2,2.0,2.97,250.49,2022
4064,Player C,Team A,19,195.57,93.11,Midfielder,24.0,5.0,5,0,73.85,9.62,74,5,16,9,0.87,4,5,19.73,5.03,3.16,439.3,2022
4067,Player A,Team C,35,191.78,108.36,Defender,17.0,6.0,6,1,71.53,9.32,25,5,7,9,0.98,9,9,14.25,2.35,1.28,392.44,2019
4071,Player A,Team C,25,173.88,105.18,Midfielder,11.0,17.0,6,0,97.3,5.94,78,2,27,8,0.68,97,0,14.34,0.72,2.83,374.13,2022
4072,Player A,Team B,23,181.53,109.64,Forward,8.0,14.0,2,2,96.8,10.77,20,1,20,7,0.59,20,8,12.27,1.96,5.78,280.72,2021
4074,Player B,Team B,24,168.66,84.31,Forward,5.0,13.0,3,0,72.8,9.12,93,1,29,1,0.68,22,5,17.05,1.28,12.83,121.98,2021
4075,Player A,Team A,35,192.12,78.46,Goalkeeper,20.0,17.0,2,0,90.41,14.11,4,3,16,8,0.58,52,6,9.1,0.31,2.76,601.15,2020
4078,Player B,Team A,25,183.15,91.32,Goalkeeper,23.0,0.0,8,0,86.53,10.17,97,2,11,7,0.77,3,6,10.59,1.71,2.92,206.34,2021
4080,Player C,Team C,39,185.13,115.4,Forward,16.0,0.0,6,4,94.31,8.91,81,6,6,3,0.69,94,0,8.49,3.28,2.29,114.66,2020
4081,Player B,Team B,31,162.56,84.98,Forward,2.0,0.0,5,2,92.76,14.26,24,8,2,9,0.23,8,4,18.34,0.34,14.0,11.95,2021
4086,Player A,Team C,33,184.0,111.68,Forward,3.0,9.0,8,0,66.11,11.42,65,14,14,0,0.13,40,7,11.99,0.54,5.5,238.41,2021
4089,Player D,Team C,33,198.13,86.69,Midfielder,240.0,9.0,9,1,63.49,7.73,41,7,0,2,0.04,24,6,17.58,0.56,0.18,3386.22,2020
4092,Player A,Team B,31,161.19,102.27,Goalkeeper,4.0,14.0,9,0,88.41,11.02,74,7,3,5,0.48,26,8,17.46,6.9,13.4,250.45,2022
4093,Player C,Team B,29,197.34,59.58,Defender,8.0,15.0,0,3,92.53,5.39,24,4,5,4,0.93,9,2,12.31,2.18,4.22,136.24,2020
4095,Player A,Team C,18,181.51,61.22,Midfielder,20.0,10.0,6,0,57.45,6.32,9,0,29,0,0.47,56,3,6.17,0.8,0.33,226.85,2022
4097,Player B,Team A,37,209.16,98.46,Midfielder,12.0,16.0,8,4,60.7,5.81,42,1,7,0,0.08,36,0,17.98,7.37,2.46,466.04,2020
4099,Player B,Team B,32,198.75,82.02,Forward,29.0,15.0,7,0,86.96,8.6,88,10,13,1,0.03,73,4,14.83,0.98,0.23,486.8,2020
4100,Player B,Team C,21,186.89,72.04,Defender,23.0,13.0,0,0,71.42,12.36,27,2,9,8,0.63,22,8,7.12,0.23,4.0,243.61,2022
4101,Player B,Team B,24,188.52,72.41,Midfielder,260.0,5.0,3,0,63.83,10.19,23,9,24,0,0.43,1,0,6.41,0.4,0.23,4971.62,2020
4102,Player A,Team A,33,165.33,99.03,Forward,0.0,9.0,3,4,118.4,11.3,98,1,25,7,0.55,69,3,10.18,8.32,47.0,104.57,2021
4105,Player A,Team C,39,171.82,103.27,Goalkeeper,7.0,9.0,2,0,57.2,5.04,4,0,14,8,0.66,83,4,8.62,6.34,10.25,226.44,2020
4107,Player B,Team B,33,197.77,100.34,Forward,160.0,19.0,6,3,50.37,10.68,10,10,15,0,0.05,96,1,13.61,6.54,0.33,3101.95,2022
4109,Player A,Team C,39,160.38,102.37,Goalkeeper,11.0,8.0,8,2,67.74,11.38,20,14,14,7,0.58,84,8,13.14,2.21,0.42,364.01,2020
4110,Player B,Team B,23,169.49,63.22,Goalkeeper,24.0,14.0,7,3,85.96,11.73,95,12,22,1,0.56,43,4,17.09,1.81,2.88,565.63,2021
4112,Player B,Team C,33,176.88,66.55,Forward,24.0,1.0,5,2,51.93,5.16,4,7,26,1,0.07,94,1,18.46,0.0,2.32,303.07,2020
4113,Player D,Team C,28,196.82,134.99,Forward,24.0,3.0,1,1,55.79,14.83,33,2,11,5,0.09,74,6,8.54,0.72,3.84,537.12,2020
